Antibiotic,Model,AUC_ROC,Sensitivity,Specificity,F1_Score,Accuracy,TP,FP,TN,FN
imipenem,Elastic_Net,0.6871,0.8485,0.4762,0.866,0.7833,84,11,10,15
imipenem,XGBoost,0.7162,0.9192,0.4762,0.9055,0.8417,91,11,10,8
imipenem,Decision_Tree,0.7181,0.9192,0.4762,0.9055,0.8417,91,11,10,8
